id,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media
1,8807.0,404.71782079359116,0.8854817567145952,0.9227787091366303,105.89344016738042,88.79766095151584
2,16012.0,577.144227664784,0.783153401845943,0.8680943345079968,142.78344298376973,143.96477641768672
3,9485.0,373.94826817189073,0.6260011853143645,0.9774319868095631,109.8939356007101,109.54939377965208
4,3927.0,264.3675323681471,0.8191059391144354,0.9615572967678746,70.7107607947686,94.24318818436466
5,22032.0,589.0437226013958,0.7910180295928129,0.9827378562826175,167.48735370052603,143.77600762527234
6,5864.0,299.5218613006979,0.47958124118306855,0.9632063074901446,86.40761939972073,108.7206684856753
7,4171.0,285.19595949289334,0.8855539548719271,0.9834944588540439,72.87442720934665,127.23951090865499
8,341.0,217.7878425849301,0.9400488807202265,0.07899003937919852,20.83685880248485,131.0234604105572
9,34027.0,741.6122650963194,0.4601048283789698,0.9700935112327518,208.1454347054083,121.69841596379345
10,8103.0,416.06601717798213,0.9330011591591554,0.9881707317073171,101.57292961704424,141.453412316426
11,44094.0,917.222438151586,0.7067827987179014,0.9450874485596708,236.94350483934406,131.4246836304259
12,17182.0,545.2447327281723,0.8746068298828761,0.9740362811791383,147.90808584265963,151.47503201024327
13,6493.0,319.2375900532359,0.7990943649085945,0.9866281720103328,90.92383826019122,130.09348529185277
14,7931.0,366.40916292848976,0.8066108110089196,0.9801038062283737,100.48911796455661,103.83469928130123
15,5926.0,326.3675323681471,0.8926786639752459,0.9840584523414148,86.86321167272469,151.59871751603106
16,2686.0,262.40916292848976,0.9601289927751142,0.8879338842975206,58.480094195877,86.3693224125093
17,5361.0,288.9360748630709,0.625899800900983,0.962650386065721,82.61862501473387,110.22477149785487
18,32276.0,732.8254685319159,0.5508511229523443,0.9654801076877056,202.71921355873525,134.83207336720784
